id,value,feed_id,created_at,lat,lon,ele
0FVYZY0374VEGNRQ5B05TDD3AM,21.982420,3066712,2025-04-23 00:12:05 UTC,,,
0FVYZY48RW0H8CM8PR3F7D54V9,22.026365,3066712,2025-04-23 00:12:19 UTC,,,
0FVYZY4ZSRFG5AQBJXQHMJWDTX,22.026365,3066712,2025-04-23 00:12:21 UTC,,,
0FVYZY5HRZATSV7XXWRGEYC6VD,22.026365,3066712,2025-04-23 00:12:23 UTC,,,
0FVYZZ6ATZDB5C1RC1PRZ8CES4,22.158199,3066712,2025-04-23 00:14:10 UTC,,,
0FVYZZ71BBV71W4CAD2GWCHXKS,22.202147,3066712,2025-04-23 00:14:13 UTC,,,
0FVYZZ7H9G506NC6B61Y3R072H,22.202147,3066712,2025-04-23 00:14:14 UTC,,,
0FVYZZ8092DT45JS8CDGD54XHR,22.246092,3066712,2025-04-23 00:14:16 UTC,,,
0FVYZZ8EQP4TQ5898X7DFVFTN3,22.202147,3066712,2025-04-23 00:14:17 UTC,,,
0FVZ0NCG3SHTHX8HENDZN7EMZP,22.773434,3066712,2025-04-23 00:52:57 UTC,,,
0FVZ0NEAGTC2PYHQ9B649542NX,22.861326,3066712,2025-04-23 00:53:03 UTC,,,
0FVZ0NGBNHGWFNTZK6HDQXGX05,23.124998,3066712,2025-04-23 00:53:10 UTC,,,
0FVZ0NJMQEWPP95JC8YBNDJ69M,23.124998,3066712,2025-04-23 00:53:18 UTC,,,
0FVZ0NM1HBCMCVXNVKXHRBWFT7,23.300779,3066712,2025-04-23 00:53:22 UTC,,,
0FVZ0NNJ40PJ70F82Y955CG2F5,23.344725,3066712,2025-04-23 00:53:27 UTC,,,
0FVZ0PQW5NHN5Y8Q92KHD76RV2,22.333981,3066712,2025-04-23 00:55:20 UTC,,,
0FVZ0PTD6R8XMRBJFFZXQCRB7J,23.037106,3066712,2025-04-23 00:55:28 UTC,,,
0FVZ265NMGGKQJR32X50C5503Y,-49.340820,3066712,2025-04-23 02:18:13 UTC,,,
0FVZ26EE2WG10FSTRN901PPQ2N,-49.692383,3066712,2025-04-23 02:18:42 UTC,,,
0FVZ26F1M63Y37YA1YKKV891KY,-49.340820,3066712,2025-04-23 02:18:44 UTC,,,
0FVZ26GPRVR5VXM1THQ2Z950N0,-49.780273,3066712,2025-04-23 02:18:49 UTC,,,
0FVZ26T3BRYHCSHEBFKXA52P3R,-49.868172,3066712,2025-04-23 02:19:20 UTC,,,
0FVZ2804QQDDTF5BPAJWVH9P4W,-50.000000,3066712,2025-04-23 02:21:25 UTC,,,
0FVZ281EQ3NKAEXAXB06J3X6KD,-49.340820,3066712,2025-04-23 02:21:29 UTC,,,
0FVZ2822A6EGM54N00WR78Q127,-50.000000,3066712,2025-04-23 02:21:31 UTC,,,
0FVZ282JS2MQCQVW2VTZX3KK3D,-50.000000,3066712,2025-04-23 02:21:33 UTC,,,
0FVZ28311CKE4P8VCKJRPGG042,-50.000000,3066712,2025-04-23 02:21:34 UTC,,,
0FVZ283NQPFQQ6FTZN02NFXAN3,-49.956055,3066712,2025-04-23 02:21:36 UTC,,,
0FVZ284CH2M5JVZKFTJ76YMYK0,-50.000000,3066712,2025-04-23 02:21:39 UTC,,,
0FVZ285181C7M32329WVTRCWXN,-50.000000,3066712,2025-04-23 02:21:41 UTC,,,
0FVZ285P2TRJCNMPPB2S5FFMEP,-49.384766,3066712,2025-04-23 02:21:43 UTC,,,
0FVZ286A6PKJVJQD995ZAX9ERN,-50.000000,3066712,2025-04-23 02:21:45 UTC,,,
0FVZ286RY7GSJ0H56SCZXYV61C,-49.648445,3066712,2025-04-23 02:21:46 UTC,,,
0FVZ28NH67SARR9G7GDQ4RV80A,-49.648445,3066712,2025-04-23 02:22:35 UTC,,,
